timestamp,user_head_pos_x,user_head_pos_y,user_head_pos_z,left_palm_pos_x,left_palm_pos_y,left_palm_pos_z,left_palm_axis_x,left_palm_axis_y,left_palm_axis_z,right_palm_pos_x,right_palm_pos_y,right_palm_pos_z,right_palm_axis_x,right_palm_axis_y,right_palm_axis_z
0,-0.08,1.19,0.75,-0.28,0.84,0.2,0.3,-0.95,0.01,0.22,0.89,0.15,-0.29,-0.88,0.37
1,-0.08,1.19,0.75,-0.28,0.84,0.19,0.3,-0.95,0.0,0.22,0.9,0.16,-0.29,-0.89,0.35
2,-0.08,1.19,0.75,-0.28,0.84,0.19,0.3,-0.95,-0.01,0.22,0.9,0.17,-0.26,-0.91,0.33
3,-0.08,1.19,0.75,-0.28,0.84,0.19,0.3,-0.95,-0.02,0.22,0.89,0.2,-0.13,-0.95,0.28
4,-0.08,1.19,0.75,-0.28,0.85,0.19,0.3,-0.95,-0.02,0.22,0.89,0.2,-0.1,-0.96,0.25
5,-0.08,1.18,0.76,-0.28,0.85,0.19,0.3,-0.95,-0.03,0.18,0.86,0.21,-0.66,-0.73,0.18
6,-0.09,1.18,0.76,-0.28,0.85,0.2,0.28,-0.96,-0.02,0.08,0.89,0.21,-0.98,-0.2,0.05
7,-0.1,1.19,0.76,-0.28,0.85,0.2,0.27,-0.96,-0.02,0.05,0.9,0.25,-0.97,-0.22,0.08
8,-0.1,1.18,0.76,-0.28,0.85,0.2,0.26,-0.97,-0.01,0.02,0.83,0.24,-1.0,-0.08,-0.05
9,-0.09,1.18,0.76,-0.28,0.85,0.2,0.25,-0.97,-0.01,0.03,0.83,0.24,-1.0,-0.03,-0.08
10,-0.09,1.18,0.76,-0.28,0.85,0.2,0.26,-0.97,-0.01,0.01,0.88,0.25,-0.99,-0.01,-0.12
11,-0.1,1.18,0.76,-0.28,0.85,0.2,0.26,-0.97,-0.01,0.01,0.84,0.25,-0.99,-0.01,-0.12
12,-0.1,1.18,0.76,-0.28,0.85,0.2,0.25,-0.97,-0.01,0.01,0.84,0.24,-0.99,0.04,-0.1
13,-0.1,1.18,0.76,-0.28,0.85,0.2,0.26,-0.97,-0.01,0.01,0.87,0.26,-0.99,0.0,-0.12
