timestamp,user_head_pos_x,user_head_pos_y,user_head_pos_z,left_palm_pos_x,left_palm_pos_y,left_palm_pos_z,left_palm_axis_x,left_palm_axis_y,left_palm_axis_z,right_palm_pos_x,right_palm_pos_y,right_palm_pos_z,right_palm_axis_x,right_palm_axis_y,right_palm_axis_z
0,0.03,1.19,0.77,-0.06,0.84,0.28,0.54,-0.45,-0.71,0.28,0.85,0.03,-0.49,-0.42,0.76
1,0.03,1.19,0.77,-0.06,0.84,0.28,0.53,-0.45,-0.72,0.28,0.85,0.03,-0.5,-0.42,0.76
2,0.04,1.19,0.77,-0.06,0.84,0.28,0.52,-0.45,-0.73,0.28,0.85,0.03,-0.5,-0.43,0.75
3,0.05,1.18,0.77,-0.06,0.84,0.28,0.52,-0.46,-0.72,0.31,0.89,0.07,-0.51,-0.46,0.73
4,0.05,1.18,0.77,-0.06,0.84,0.27,0.52,-0.48,-0.71,0.34,0.9,0.13,-0.44,-0.48,0.76
5,0.05,1.17,0.78,-0.06,0.84,0.28,0.53,-0.48,-0.7,0.34,0.89,0.16,-0.51,-0.42,0.75
6,0.05,1.17,0.79,-0.06,0.84,0.28,0.54,-0.48,-0.69,0.34,0.87,0.17,-0.63,-0.31,0.71
7,0.04,1.17,0.8,-0.07,0.84,0.28,0.55,-0.48,-0.68,0.32,0.88,0.18,-0.67,-0.18,0.72
8,0.04,1.16,0.82,-0.07,0.84,0.28,0.56,-0.48,-0.67,0.35,0.9,0.19,-0.53,-0.45,0.71
9,0.04,1.15,0.83,-0.07,0.84,0.28,0.58,-0.46,-0.67,0.37,0.97,0.19,-0.12,-0.78,0.61
10,0.04,1.15,0.84,-0.07,0.84,0.28,0.59,-0.47,-0.66,0.36,1.02,0.22,0.26,-0.84,0.47
11,0.04,1.15,0.84,-0.08,0.84,0.28,0.6,-0.46,-0.65,0.36,1.04,0.25,0.47,-0.8,0.37
12,0.04,1.15,0.84,-0.08,0.84,0.28,0.6,-0.47,-0.64,0.35,1.05,0.27,0.64,-0.72,0.26
13,0.03,1.15,0.84,-0.08,0.84,0.28,0.59,-0.47,-0.65,0.33,1.04,0.3,0.76,-0.63,0.19
14,0.03,1.15,0.84,-0.08,0.84,0.28,0.59,-0.47,-0.65,0.32,1.03,0.32,0.76,-0.63,0.18
15,0.03,1.15,0.84,-0.08,0.83,0.28,0.59,-0.47,-0.66,0.32,1.02,0.32,0.75,-0.64,0.16
16,0.03,1.15,0.84,-0.08,0.83,0.28,0.59,-0.47,-0.65,0.32,1.02,0.32,0.75,-0.64,0.14
