timestamp,user_head_pos_x,user_head_pos_y,user_head_pos_z,left_palm_pos_x,left_palm_pos_y,left_palm_pos_z,left_palm_axis_x,left_palm_axis_y,left_palm_axis_z,right_palm_pos_x,right_palm_pos_y,right_palm_pos_z,right_palm_axis_x,right_palm_axis_y,right_palm_axis_z
0,-0.17,1.2,0.74,-0.54,0.89,0.15,0.79,-0.33,0.53,-0.06,0.84,0.26,-0.89,-0.21,-0.4
1,-0.17,1.2,0.74,-0.54,0.89,0.15,0.78,-0.32,0.53,-0.06,0.84,0.26,-0.89,-0.21,-0.4
2,-0.18,1.2,0.74,-0.54,0.9,0.16,0.77,-0.33,0.54,-0.07,0.84,0.26,-0.9,-0.2,-0.39
3,-0.18,1.2,0.74,-0.55,0.9,0.22,0.73,-0.41,0.55,-0.07,0.84,0.26,-0.9,-0.2,-0.4
4,-0.17,1.2,0.75,-0.55,0.88,0.22,0.76,-0.39,0.52,-0.06,0.84,0.26,-0.9,-0.21,-0.38
5,-0.17,1.19,0.75,-0.57,0.89,0.22,0.69,-0.47,0.55,-0.07,0.84,0.26,-0.9,-0.19,-0.39
6,-0.16,1.19,0.75,-0.59,0.91,0.22,0.43,-0.65,0.62,-0.07,0.84,0.26,-0.9,-0.18,-0.39
7,-0.15,1.18,0.76,-0.54,1.01,0.2,0.01,-0.77,0.64,-0.07,0.85,0.25,-0.92,-0.18,-0.36
8,-0.15,1.17,0.76,-0.53,1.01,0.2,-0.0,-0.88,0.48,-0.06,0.85,0.25,-0.93,-0.19,-0.31
9,-0.15,1.17,0.75,-0.51,1.02,0.19,-0.15,-0.94,0.32,-0.06,0.85,0.25,-0.93,-0.2,-0.3
10,-0.15,1.17,0.75,-0.5,1.02,0.2,-0.38,-0.91,0.17,-0.06,0.85,0.26,-0.94,-0.22,-0.27
11,-0.15,1.17,0.75,-0.49,1.02,0.21,-0.52,-0.85,0.09,-0.06,0.85,0.26,-0.94,-0.23,-0.26
12,-0.15,1.17,0.75,-0.48,1.02,0.21,-0.58,-0.81,0.08,-0.06,0.85,0.26,-0.93,-0.24,-0.26
13,-0.15,1.17,0.75,-0.48,1.02,0.21,-0.6,-0.79,0.07,-0.06,0.85,0.26,-0.93,-0.25,-0.26
