timestamp,user_head_pos_x,user_head_pos_y,user_head_pos_z,left_palm_pos_x,left_palm_pos_y,left_palm_pos_z,left_palm_axis_x,left_palm_axis_y,left_palm_axis_z,right_palm_pos_x,right_palm_pos_y,right_palm_pos_z,right_palm_axis_x,right_palm_axis_y,right_palm_axis_z
0,-0.01,1.28,0.67,0.28,1.31,0.27,0.68,-0.7,0.23,0.45,1.34,-0.07,0.78,-0.47,0.42
1,-0.01,1.28,0.67,0.28,1.31,0.27,0.67,-0.7,0.23,0.45,1.34,-0.07,0.78,-0.47,0.41
2,-0.01,1.28,0.67,0.28,1.31,0.27,0.67,-0.71,0.22,0.45,1.34,-0.07,0.78,-0.48,0.4
3,-0.01,1.28,0.67,0.29,1.31,0.27,0.68,-0.7,0.21,0.45,1.34,-0.06,0.78,-0.48,0.4
4,-0.01,1.28,0.67,0.29,1.31,0.27,0.7,-0.69,0.18,0.45,1.34,-0.05,0.76,-0.5,0.43
5,-0.01,1.28,0.67,0.29,1.3,0.27,0.73,-0.67,0.16,0.45,1.33,-0.05,0.73,-0.5,0.46
6,-0.01,1.28,0.67,0.26,1.28,0.27,0.75,-0.66,0.07,0.43,1.31,-0.07,0.65,-0.52,0.55
7,-0.02,1.28,0.67,0.24,1.23,0.25,0.73,-0.62,-0.27,0.41,1.28,-0.07,0.47,-0.53,0.7
8,-0.02,1.28,0.67,0.23,1.2,0.22,0.61,-0.53,-0.59,0.39,1.26,-0.07,0.4,-0.53,0.75
9,-0.02,1.28,0.67,0.2,1.18,0.19,0.5,-0.43,-0.75,0.36,1.24,-0.08,0.28,-0.54,0.79
10,-0.02,1.27,0.67,0.2,1.15,0.17,0.25,-0.31,-0.92,0.34,1.21,-0.07,0.05,-0.49,0.87
11,-0.02,1.27,0.68,0.2,1.13,0.16,0.09,-0.22,-0.97,0.33,1.19,-0.05,-0.38,-0.41,0.83
12,-0.02,1.27,0.68,0.19,1.13,0.15,0.05,-0.16,-0.99,0.32,1.18,-0.04,-0.58,-0.35,0.74
13,-0.02,1.27,0.68,0.19,1.13,0.15,-0.01,-0.12,-0.99,0.31,1.17,-0.04,-0.65,-0.32,0.69
14,-0.02,1.27,0.68,0.19,1.12,0.14,-0.08,-0.08,-0.99,0.3,1.16,-0.04,-0.72,-0.28,0.64
15,-0.02,1.27,0.68,0.18,1.12,0.14,-0.16,-0.02,-0.99,0.29,1.15,-0.04,-0.81,-0.21,0.56
16,-0.02,1.27,0.68,0.17,1.11,0.13,-0.25,0.05,-0.97,0.27,1.14,-0.04,-0.87,-0.14,0.48
17,-0.02,1.27,0.68,0.17,1.11,0.13,-0.3,0.09,-0.95,0.26,1.14,-0.03,-0.9,-0.09,0.42
