timestamp,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,left_hand_rot_angle,right_hand_rot_angle,leftHand_head_dist,rightHand_head_dist,leftHand_rightHand_dist
0,-0.13,-0.44,0.03,0.1,-0.22,0.11,0.0,0.0,0.46,0.26,0.33
1,-0.13,-0.44,0.03,0.03,-0.25,0.17,1.38,4.99,0.46,0.3,0.29
2,-0.13,-0.44,0.03,0.03,-0.25,0.18,1.51,27.35,0.46,0.31,0.3
3,-0.14,-0.44,0.03,0.05,-0.24,0.18,1.2,25.28,0.46,0.31,0.31
4,-0.14,-0.44,0.03,0.08,-0.22,0.15,1.12,14.35,0.46,0.28,0.33
5,-0.14,-0.44,0.03,0.11,-0.2,0.11,0.99,5.4,0.46,0.25,0.35
6,-0.14,-0.44,0.03,0.11,-0.2,0.09,2.0,3.55,0.46,0.25,0.35
7,-0.13,-0.44,0.03,0.11,-0.2,0.09,0.74,0.0,0.46,0.25,0.35
8,-0.14,-0.44,0.03,0.11,-0.2,0.09,1.35,0.0,0.46,0.25,0.35
9,-0.14,-0.44,0.03,0.11,-0.2,0.09,1.5,0.0,0.46,0.25,0.35
10,-0.14,-0.44,0.03,0.11,-0.2,0.09,2.01,0.0,0.46,0.25,0.35
11,-0.14,-0.44,0.03,0.11,-0.2,0.09,2.01,0.0,0.46,0.25,0.35
12,-0.13,-0.44,0.03,0.17,-0.18,0.05,0.86,6.92,0.46,0.26,0.4
13,-0.13,-0.44,0.03,0.17,-0.19,0.05,0.38,0.62,0.46,0.26,0.4
14,-0.13,-0.44,0.03,0.18,-0.19,0.05,1.45,1.18,0.46,0.26,0.4
15,-0.13,-0.44,0.03,0.18,-0.19,0.05,0.7,0.56,0.46,0.26,0.4
16,-0.13,-0.44,0.03,0.18,-0.19,0.05,1.74,0.37,0.46,0.27,0.4
17,-0.13,-0.44,0.03,0.18,-0.19,0.05,0.65,0.45,0.46,0.27,0.4
18,-0.13,-0.44,0.03,0.18,-0.19,0.05,1.63,0.16,0.46,0.27,0.4
19,-0.13,-0.44,0.03,0.18,-0.19,0.05,0.61,0.34,0.46,0.27,0.4
20,-0.13,-0.44,0.03,0.18,-0.19,0.05,1.39,0.26,0.46,0.27,0.4
21,-0.13,-0.44,0.03,0.18,-0.2,0.05,1.47,0.1,0.46,0.27,0.4
22,-0.13,-0.44,0.03,0.18,-0.2,0.05,0.67,0.1,0.46,0.27,0.39
23,-0.13,-0.44,0.03,0.18,-0.2,0.05,0.78,0.06,0.46,0.27,0.39
24,-0.13,-0.44,0.03,0.18,-0.2,0.05,0.25,0.07,0.46,0.27,0.39
25,-0.13,-0.44,0.03,0.18,-0.2,0.05,0.62,0.2,0.46,0.27,0.39
26,-0.13,-0.44,0.03,0.18,-0.2,0.05,0.8,0.22,0.46,0.27,0.39
27,-0.13,-0.44,0.03,0.17,-0.2,0.05,0.44,0.23,0.46,0.27,0.39
28,-0.13,-0.44,0.03,0.17,-0.2,0.05,0.44,0.25,0.46,0.27,0.39
