timestamp,on_target,target_name
0,True,台灯
1,True,台灯
2,True,台灯
3,True,台灯
4,True,台灯
5,True,台灯
6,True,台灯
7,True,台灯
8,True,台灯
9,True,台灯
10,True,台灯
11,True,台灯
12,True,台灯
13,True,台灯
14,True,台灯
15,True,台灯
16,True,台灯
17,True,台灯
18,True,台灯
19,True,台灯
20,True,台灯
21,True,台灯
22,True,台灯
23,True,台灯
24,True,台灯
25,True,台灯
26,True,台灯
27,True,台灯
28,True,台灯
29,True,台灯
30,True,台灯
31,True,台灯
32,True,台灯
33,True,台灯
34,True,台灯
35,True,台灯
36,True,台灯
37,True,台灯
38,True,台灯
39,True,台灯
40,True,台灯
41,True,台灯
