timestamp,gaze_ray_direction_x,gaze_ray_direction_y,gaze_ray_direction_z,gaze_point_x,gaze_point_y,gaze_point_z,on_target,target_name,target_center_x,target_center_y,target_center_z,target_size_x,target_size_y,target_size_z,user_head_pos_x,user_head_pos_y,user_head_pos_z,left_palm_pos_x,left_palm_pos_y,left_palm_pos_z,left_palm_axis_x,left_palm_axis_y,left_palm_axis_z,right_palm_pos_x,right_palm_pos_y,right_palm_pos_z,right_palm_axis_x,right_palm_axis_y,right_palm_axis_z,left_thumb_flex,left_index_flex,left_middle_flex,left_ring_flex,left_pinky_flex,left_thumb_curl,left_index_curl,left_middle_curl,left_ring_curl,left_pinky_curl,right_thumb_flex,right_index_flex,right_middle_flex,right_ring_flex,right_pinky_flex,right_thumb_curl,right_index_curl,right_middle_curl,right_ring_curl,right_pinky_curl
16021,-0.15,-0.47,0.87,-0.14,0.86,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.21,0.73,-0.27,0.83,0.16,0.89,-0.35,0.29,0.06,0.83,0.19,-0.93,-0.34,-0.12,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
16065,-0.15,-0.47,0.87,-0.14,0.86,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.21,0.73,-0.27,0.83,0.16,0.9,-0.34,0.27,0.06,0.83,0.19,-0.94,-0.33,-0.12,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
16109,-0.15,-0.47,0.87,-0.14,0.86,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.21,0.73,-0.27,0.83,0.16,0.91,-0.34,0.24,0.06,0.82,0.19,-0.94,-0.32,-0.13,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
16142,-0.15,-0.47,0.87,-0.14,0.86,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.21,0.73,-0.27,0.83,0.16,0.92,-0.33,0.22,0.06,0.82,0.19,-0.94,-0.32,-0.14,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
16176,-0.15,-0.47,0.87,-0.14,0.86,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.21,0.73,-0.27,0.83,0.16,0.92,-0.33,0.21,0.06,0.82,0.19,-0.94,-0.32,-0.14,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
16220,-0.15,-0.47,0.87,-0.14,0.86,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.21,0.73,-0.27,0.83,0.16,0.93,-0.32,0.19,0.06,0.82,0.19,-0.94,-0.31,-0.15,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
16264,-0.15,-0.47,0.87,-0.14,0.86,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.21,0.73,-0.27,0.83,0.16,0.93,-0.32,0.18,0.06,0.82,0.19,-0.94,-0.31,-0.15,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
16298,-0.15,-0.47,0.87,-0.14,0.86,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.21,0.73,-0.26,0.83,0.16,0.93,-0.31,0.17,0.06,0.82,0.19,-0.94,-0.3,-0.15,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
16332,-0.15,-0.47,0.87,-0.14,0.86,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.21,0.73,-0.26,0.83,0.16,0.94,-0.31,0.16,0.06,0.82,0.19,-0.94,-0.3,-0.15,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
16365,-0.15,-0.47,0.87,-0.15,0.86,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.21,0.73,-0.26,0.83,0.16,0.94,-0.31,0.15,0.06,0.82,0.19,-0.94,-0.29,-0.16,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
